Timestamp,Where do you usually begin your commute?,Where do you usually end your commute?,How do commute? (Select all that apply),How long do you typically spend commuting/traveling?,How many stops and/or transfers do you make before you reach your final destination,What types of activities are part of your daily travels?,Would you describe yourself as,What factors play into your choice of transportation?,What is your current commute like?,Describe your ideal commute,What is your age?,What is your gender?,DLon,DLat,OLon,OLat,RandLat,RandLon,NewLon,NewLat,TimeAgo
4/5/2017 16:23:16,Summit-University,University of Minnesota,"Private Vehicle, Light Rail, Bike, Walk",30-60 minutes,1,Going to/from work,White/Caucasian,"Affordability, Convenience, Weather","I drive 6 of the 7 miles to campus. I can't afford to park on or near campus all day, so I choose my free on-street parking by proximity to the Green Line or Nice Ride station (depending on the weather). If Nice Rides are not available, I will walk if the weather is good.","I like biking when the weather is nice. Otherwise, I would prefer to drive to campus and park in the ramp.",25- 34 years old,Female,-93.23452921,44.97510326,-93.12794061,44.94867663,-0.003,0.001,-93.131,44.950,18
4/21/2017 20:21:40,Northrop,CapitolRiver Council,"Private Vehicle, Light Rail, uber",1 hour or more,1,"Going to/from work, Taking children to school/childcare/activities, Picking up groceries/running errands",White/Caucasian,"Affordability, Convenience, Ease of Use","I dread the traffic on the way home if I have driven my own car. I prefer to take LRT, but it's an hour-long trip which isn't feasible on days when my schedule is crunched. ",Express bus or LRT within walking distance of my home to my place of employment.,25- 34 years old,Female,-93.09620696,44.94952805,-93.25536004,44.92006754,,,-93.25536004,44.92006754,2
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4/24/2017 0:00:00
